gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,342.84,No
Male,1,No,No,48,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,84.01,4023.59,No
Female,0,No,No,53,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),55.64,3013.97,No
Male,0,No,No,10,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,90.5,944.96,Yes
Male,0,No,No,18,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,76.7,1314.41,No
Male,0,Yes,No,49,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),65.5,3131.38,No
Female,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),93.28,6610.85,No
Male,1,No,No,30,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),96.38,2860.32,No
Male,1,Yes,No,19,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,55.2,1076.74,Yes
Male,0,Yes,Yes,55,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Mailed check,57.26,3096.67,No
Male,0,No,Yes,60,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,70.63,4249.66,No
Female,0,Yes,No,72,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),89.65,6474.31,No
Female,1,No,No,21,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.05,1970.21,No
Male,0,Yes,Yes,26,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,52.93,1378.83,Yes
Female,0,Yes,No,28,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,93.23,2707.79,No
Male,0,No,No,39,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),91.78,3571.41,Yes
Male,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),80.62,2702.34,No
Male,0,Yes,No,40,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),68.59,2687.34,No
Female,0,No,No,29,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,86.5,2477.79,Yes
Female,0,Yes,No,20,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,81.13,1580.67,No
Female,0,No,No,20,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),79.9,1645.21,Yes
Female,0,No,No,12,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),86.21,1057.48,Yes
Female,0,No,No,25,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,67.91,1737.96,Yes
Female,1,Yes,No,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.77,614.98,No
Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.09,40.79,No
Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.96,384.78,Yes
Female,0,No,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,178.08,No
Male,0,No,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,89.85,1403.59,Yes
Female,0,No,Yes,26,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,55.67,1475.4,No
Female,1,Yes,Yes,71,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,85.18,6056.5,No
Female,0,Yes,Yes,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),28.05,918.87,No
Female,0,Yes,Yes,52,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),58.38,3080.68,No
Female,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.27,2643.03,No
Female,1,Yes,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.66,199.96,Yes
Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),25.48,260.57,No
Female,0,Yes,No,56,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.49,3143.01,No
Female,0,Yes,No,44,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,68.01,2992.89,No
Female,0,Yes,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),60.16,1794.3,Yes
Female,0,No,No,16,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,80.75,1345.46,No
Male,1,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.95,311.94,No
Male,0,No,No,66,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),79.11,5242.4,No
Female,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.44,453.81,Yes
Female,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Mailed check,78.66,1045.9,Yes
Male,1,No,No,24,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.48,2111.52,No
Female,0,Yes,No,12,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,60.48,709.55,Yes
Male,0,Yes,Yes,60,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,54.19,3254.58,No
Male,0,No,No,60,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,68.87,4164.39,Yes
Male,0,No,No,1,No,No phone service,DSL,No,Yes,Yes,No,No,No,Two year,No,Electronic check,60.56,85.97,No
Male,0,Yes,Yes,43,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,59.43,2524.61,No
Male,0,Yes,No,55,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,61.5,3408.69,No
Female,1,No,No,40,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.93,3406.91,Yes
Male,0,Yes,No,64,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,94.4,6057.15,Yes
Female,0,Yes,No,34,No,No phone service,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,55.24,1850.86,No
Female,0,Yes,No,34,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),71.84,2505.44,No
Male,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Mailed check,77.38,3679.04,No
Male,0,No,No,33,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.08,2877.07,Yes
Female,0,Yes,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),80.98,5498.18,No
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.66,2450.07,Yes
Male,0,No,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.07,1963.55,No
Female,0,No,No,71,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,56.59,4040.6,No
Female,0,Yes,No,29,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),54.54,1599.22,No
Male,0,Yes,No,23,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),57.91,1383.31,No
Female,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),93.05,3146.38,No
Male,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),89.25,1403.67,Yes
Male,0,No,No,53,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,70.23,3744.53,Yes
Male,0,No,Yes,17,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),66.31,1022.02,No
Female,0,No,No,64,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.74,5054.68,No
Female,0,No,No,61,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),83.05,4944.96,No
Female,0,No,No,57,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),82.72,4647.91,No
Female,0,No,No,37,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),87.26,3213.27,Yes
Female,1,Yes,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.27,116.15,Yes
Male,0,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),77.89,583.66,No
Male,0,Yes,No,68,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Mailed check,61.41,4170.22,No
Male,0,Yes,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),23.64,491.27,No
Male,0,No,Yes,61,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),53.77,3232.56,No
Female,0,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,104.46,3035.46,No
Male,0,No,No,25,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,64.92,1690.65,Yes
Female,0,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.88,1379.98,Yes
Male,0,Yes,No,14,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),55.31,747.31,No
Female,0,No,No,66,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,55.65,3691.81,No
Female,0,Yes,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.39,1211.11,No
Male,1,Yes,Yes,67,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,85.19,5761.29,No
Male,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.85,805.1,Yes
Male,0,No,No,18,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),71.29,1379.77,Yes
Male,0,No,No,54,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,92.34,5011.33,Yes
Female,1,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),31.68,612.63,No
Male,0,No,No,53,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,84.48,4528.07,Yes
Male,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.15,403.14,Yes
Female,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.54,915.56,Yes
Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),90.26,368.34,No
Male,0,No,Yes,55,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,57.18,3120.13,Yes
Male,0,Yes,No,15,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),64.62,948.95,Yes
Male,0,Yes,No,64,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),59.64,3808.08,No
Male,0,No,Yes,65,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),95.76,6281.22,No
Female,0,No,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.54,316.26,No
Male,0,No,Yes,20,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,80.16,1623.74,Yes
Male,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.33,1341.26,No
Male,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.51,853.52,No
Male,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,23.22,1689.44,No
Male,1,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.68,2039.38,No
Female,0,No,No,58,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,94.77,5462.01,No
Male,0,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.2,721.18,Yes
Female,0,No,Yes,36,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,91.4,3242.41,No
Female,1,No,No,68,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),91.08,6174.24,No
Male,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),97.59,1971.56,No
Male,0,No,Yes,63,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),84.31,5314.27,Yes
Male,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),86.74,457.42,No
Male,0,No,No,24,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,81.05,1895.78,Yes
Female,0,Yes,Yes,53,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,55.28,2951.7,No
Male,0,No,Yes,50,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),57.15,2873.27,No
Male,0,Yes,Yes,12,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,75.99,866.68,Yes
Male,1,No,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.01,1158.72,No
Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,86.16,1321.02,Yes
Male,0,Yes,No,40,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,77.03,3116.02,No
Male,0,Yes,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.54,811.45,No
Female,0,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.48,1740.66,No
Female,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.25,1828.93,No
Male,0,Yes,Yes,6,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.14,556.62,Yes
Male,0,No,No,67,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,58.14,3867.42,No
Male,1,Yes,No,33,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,87.17,2906.62,No
Female,1,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,83.74,3553.7,Yes
Male,0,No,Yes,21,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),58.58,1252.32,No
Female,0,No,Yes,65,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),54.37,3450.13,No
Male,1,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.4,513.69,No
Male,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,77.07,627.96,No
Male,1,No,No,64,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),63.68,4031.9,No
Male,0,Yes,No,28,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,60.76,1697.32,Yes
Female,0,No,No,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,73.83,954.18,Yes
Female,0,No,No,13,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,63.03,903.98,No
Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,82.82,3134.18,No
Male,0,No,No,25,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,75.1,1892.07,Yes
Female,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.83,1502.76,No
Female,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),27.89,628.05,No
Female,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),92.43,2017.08,No
Female,0,Yes,No,54,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,84.66,4577.63,No
Male,1,No,No,63,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),66.66,4088.29,No
Female,0,No,Yes,30,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),90.92,2729.32,No
Male,0,Yes,No,68,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,65.41,4557.73,No
Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,90.02,2855.69,Yes
Female,0,No,No,24,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,60.89,1482.48,No
Female,1,No,No,7,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),100.9,673.34,Yes
Female,0,Yes,No,72,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,54.39,3908.19,No
Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,78.36,136.08,No
Male,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),87.21,300.13,Yes
Male,0,Yes,Yes,28,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),91.34,2573.92,Yes
Female,0,Yes,No,43,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),82.28,3544.07,No
Female,1,No,No,46,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),63.74,2925.15,No
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.63,40.59,No
Female,0,Yes,No,38,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,85.0,3287.04,No
Female,0,Yes,Yes,35,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),60.12,2104.61,No
Male,0,Yes,No,54,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),99.49,5387.85,No
Female,0,Yes,No,24,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,82.94,1934.1,Yes
Female,0,No,Yes,28,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),67.93,1860.05,Yes
Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,84.64,1932.01,Yes
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.13,331.98,No
Male,0,No,Yes,13,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),56.85,764.26,No
Female,0,Yes,Yes,62,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,82.17,5149.83,No
Male,0,Yes,No,43,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),61.19,2647.18,Yes
Male,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),30.52,991.53,No
Male,1,No,No,67,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),64.62,4312.02,No
Male,0,No,No,57,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,65.66,3755.32,Yes
Male,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),86.03,5538.24,No
Male,0,No,No,69,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),57.82,3944.15,Yes
Female,0,No,No,49,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,55.13,2661.34,No
Female,0,No,No,33,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.14,2363.12,No
Male,0,Yes,Yes,19,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),63.47,1205.53,No
Male,0,No,No,36,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,46.13,1678.54,Yes
Male,0,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.72,1839.72,No
Female,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.5,374.5,No
Female,0,No,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,84.9,2012.65,No
Female,0,Yes,No,27,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,91.91,2419.4,Yes
Female,0,Yes,No,49,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,95.39,4634.2,No
Female,1,Yes,No,23,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,94.14,2084.62,Yes
Female,0,No,No,33,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),89.52,2964.35,No
Female,0,Yes,No,41,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),87.23,3624.85,Yes
Female,0,Yes,Yes,56,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),87.12,4860.88,No
Female,1,No,No,29,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),73.04,2143.05,No
Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),86.05,2653.72,No
Male,0,No,No,65,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.02,5309.34,Yes
Male,0,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.47,343.2,No
Male,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,88.72,605.8,No
Female,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),27.94,1432.98,Yes
Female,0,No,No,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,802.96,No
Male,0,Yes,No,65,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),70.99,4545.73,No
Female,0,No,No,42,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,101.38,4264.24,No
Male,1,Yes,No,68,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,87.93,5950.79,No
Female,0,No,Yes,32,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),104.23,3359.07,Yes
Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,80.2,740.37,Yes
Female,0,No,Yes,69,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Mailed check,52.43,3568.56,No
Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),28.89,225.87,No
Male,1,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.9,1816.73,No
Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,80.38,4888.75,No
Male,0,Yes,No,11,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,73.2,718.22,No
